station,trip_count
W 21 St & 6 Ave,128909
West St & Chambers St,123141
Broadway & W 58 St,114174
6 Ave & W 33 St,106322
1 Ave & E 68 St,104773
Broadway & E 14 St,98746
Broadway & W 25 St,98307
University Pl & E 14 St,97026
Broadway & E 21 St,95602
W 31 St & 7 Ave,94117
E 33 St & 1 Ave,90911
Cleveland Pl & Spring St,90871
12 Ave & W 40 St,90324
6 Ave & W 34 St,89555
West St & Liberty St,87540
11 Ave & W 41 St,87493
Lafayette St & E 8 St,87374
Central Park S & 6 Ave,86865
E 40 St & Park Ave,85533
8 Ave & W 33 St,84940
